date,bus,rail,total_rides
2001-01-01,297192,126455,423647
2001-01-02,780827,501952,1282779
2001-01-03,824923,536432,1361355
2001-01-04,870021,550011,1420032
2001-01-05,890426,557917,1448343
2001-01-06,577401,255356,832757
2001-01-07,375831,169825,545656
2001-01-08,985221,590706,1575927
2001-01-09,978377,599905,1578282
2001-01-10,984884,602052,1586936
2001-01-11,995561,607503,1603064
2001-01-12,1018985,605252,1624237
2001-01-13,591791,270056,861847
2001-01-14,373091,174842,547933
2001-01-15,675845,412149,1087994
2001-01-16,1024367,622163,1646530
2001-01-17,1018690,620343,1639033
2001-01-18,1006996,618832,1625828
2001-01-19,909964,583851,1493815
2001-01-20,582348,263815,846163
2001-01-21,378381,172107,550488
2001-01-22,1005936,598777,1604713
2001-01-23,1019983,610352,1630335
2001-01-24,991661,606835,1598496
2001-01-25,1004257,609877,1614134
2001-01-26,965324,597039,1562363
2001-01-27,590836,268078,858914
2001-01-28,368819,174434,543253
2001-01-29,953532,587052,1540584
2001-01-30,982046,607858,1589904
2001-01-31,999392,610508,1609900
2001-02-01,1054608,615268,1669876
2001-02-02,966701,577767,1544468
2001-02-03,611703,263612,875315
2001-02-04,404212,178398,582610
2001-02-05,1045944,600588,1646532
2001-02-06,1039393,612435,1651828
2001-02-07,1015059,609022,1624081
2001-02-08,1007760,610237,1617997
2001-02-09,970826,593354,1564180
2001-02-10,605404,271313,876717
2001-02-11,405433,178810,584243
2001-02-12,872330,539393,1411723
2001-02-13,1050834,622753,1673587
2001-02-14,1004304,610966,1615270
2001-02-15,1028938,613323,1642261
2001-02-16,1033040,601418,1634458
2001-02-17,591717,269294,861011
2001-02-18,388788,176855,565643
2001-02-19,782447,457891,1240338
2001-02-20,1035400,610284,1645684
2001-02-21,986212,600133,1586345
2001-02-22,986399,606302,1592701
2001-02-23,1024235,602352,1626587
2001-02-24,505193,246795,751988
2001-02-25,351637,172132,523769
2001-02-26,1009329,609256,1618585
2001-02-27,1000630,609305,1609935
2001-02-28,990416,610013,1600429
2001-03-01,1051889,618440,1670329
2001-03-02,1062234,611578,1673812
2001-03-03,678870,286786,965656
2001-03-04,385978,178292,564270
2001-03-05,863086,549759,1412845
2001-03-06,1013530,603561,1617091
2001-03-07,1028462,616666,1645128
2001-03-08,1000946,611371,1612317
2001-03-09,1038368,606672,1645040
2001-03-10,633472,283251,916723
2001-03-11,410081,188228,598309
2001-03-12,979411,588857,1568268
2001-03-13,1017685,611347,1629032
2001-03-14,1025283,619417,1644700
2001-03-15,960667,596612,1557279
2001-03-16,923613,583359,1506972
2001-03-17,602158,343893,946051
2001-03-18,412146,194257,606403
2001-03-19,1021700,602469,1624169
2001-03-20,1034388,618340,1652728
2001-03-21,1029332,616764,1646096
2001-03-22,1030741,617815,1648556
2001-03-23,1030685,605605,1636290
2001-03-24,604139,277028,881167
2001-03-25,348817,170742,519559
2001-03-26,989316,583176,1572492
2001-03-27,1017904,600914,1618818
2001-03-28,1007699,601999,1609698
2001-03-29,1020098,605027,1625125
2001-03-30,978244,590403,1568647
2001-03-31,626223,280950,907173
2001-04-01,417716,192717,610433
2001-04-02,1023629,611098,1634727
2001-04-03,1057275,613993,1671268
2001-04-04,1047634,625348,1672982
